,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,,,,,,,,,,,,,,,,,,,,,,
1,"('언제', '제작')","('언제', '구현')","('언제', '구성')","('언제', '생산')","('언제', '제조')","('어느 때에', '제작')","('어느 때에', '구현')","('어느 때에', '구성')","('어느 때에', '생산')","('어느 때에', '제조')","('어느 시대에', '제작')","('어느 시대에', '구현')","('어느 시대에', '구성')","('어느 시대에', '생산')","('어느 시대에', '제조')","('어느 시절에', '제작')","('어느 시절에', '구현')","('어느 시절에', '구성')","('어느 시절에', '생산')","('어느 시절에', '제조')","('어떤 때에', '제작')","('어떤 때에', '구현')","('어떤 때에', '구성')","('어떤 때에', '생산')","('어떤 때에', '제조')","('어떤 시대에', '제작')","('어떤 시대에', '구현')","('어떤 시대에', '구성')","('어떤 시대에', '생산')","('어떤 시대에', '제조')","('어떤 시절에', '제작')","('어떤 시절에', '구현')","('어떤 시절에', '구성')","('어떤 시절에', '생산')","('어떤 시절에', '제조')",언제 만들었어,만든게 언제야,언제 만들었을까,언제 만들어졌어,언제 만들,언제 만들어,"만들어진, 시기","만들어진, 때","언제, 그려진",언제 만들어졌어,언제 생겼나,언제 만들어졌나요,어느 시대 유물인가요,어느 시대 제작,제작 시기,무슨 시대 제작,어떤 시대부터 제작,처음에 제작된,처음 제작 시기,언제 처음 제작,어떤 시대,몇 세기,무슨 세기,언제 만들어졌는지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('어떤', '용도', '사용')","('어떤', '용도', '활용')","('어떤', '용도', '이용')","('어떤', '사용하는 이유', '사용')","('어떤', '사용하는 이유', '활용')","('어떤', '사용하는 이유', '이용')","('어느', '용도', '사용')","('어느', '용도', '활용')","('어느', '용도', '이용')","('어느', '사용하는 이유', '사용')","('어느', '사용하는 이유', '활용')","('어느', '사용하는 이유', '이용')","('무슨', '용도', '사용')","('무슨', '용도', '활용')","('무슨', '용도', '이용')","('무슨', '사용하는 이유', '사용')","('무슨', '사용하는 이유', '활용')","('무슨', '사용하는 이유', '이용')","('어떠한', '용도', '사용')","('어떠한', '용도', '활용')","('어떠한', '용도', '이용')","('어떠한', '사용하는 이유', '사용')","('어떠한', '사용하는 이유', '활용')","('어떠한', '사용하는 이유', '이용')",쓰임새가 뭐야,용도,용도 궁금해,어디에 쓰는거야,어디 쓰는거야,"('어떤', '용도')","('어떤', '사용하는 이유')","('어느', '용도')","('어느', '사용하는 이유')","('무슨', '용도')","('무슨', '사용하는 이유')","('어떠한', '용도')","('어떠한', '사용하는 이유')",어떤 용도로 사용,용도가 뭐야,용도가 뭘까,용도,"사용되는, 곳",목적,"어디에, 쓰던거야","어디에, 쓰는거야","어디에, 사용","뭐에, 쓰는거야","뭐에, 쓰나요",장식용,"언제, 쓰는, 물건","어디에, 쓰는","왜, 만든거야","무엇에, 사용","어디에, 썼던","무엇을, 담은","무엇을, 담나","실제, 사용","실제, 사용","어디, 쓰는거","주로, 어떻게, 사용","어디에, 썼던",사용되는,사용하는,무슨 용도로 사용되었나요,용도 뭐야,용도는 뭐야,어디에 사용되었나요,어디에 사용했나요,용도가 무엇인가요,쓰임새가 어떻게 돼,쓰임새,실제로 사용한거야,실제로 사용했나,실생활에 사용,실생활에 쓰이는건가,실생활에 쓰이나,실생활에 쓰여요,실생활에 써요,실생활에 사용되나,실생활에 사용하나,쓰임새를,언제 사용하는거야,사용처가 궁금해,용도는 무엇일까요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"('어떤', '색')","('어떤', '색깔')","('어떤', '빛깔')","('어떤', '색상')","('어떤', '색채')","('어느', '색')","('어느', '색깔')","('어느', '빛깔')","('어느', '색상')","('어느', '색채')","('무슨', '색')","('무슨', '색깔')","('무슨', '빛깔')","('무슨', '색상')","('무슨', '색채')","('어떠한', '색')","('어떠한', '색깔')","('어떠한', '빛깔')","('어떠한', '색상')","('어떠한', '색채')",색깔 뭐야,색깔,색깔뭐냐,색깔,색깔 궁금하네,색,컬러,색상,"원래, 색상","원래, 색깔",색 알려줘,어떤 색인가요,무슨 색인지,무슨 색 인지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"('어떻게', '사용')","('어떻게', '활용')","('어떻게', '이용')","('어떤 방식으로', '사용')","('어떤 방식으로', '활용')","('어떤 방식으로', '이용')","('어떠하게', '사용')","('어떠하게', '활용')","('어떠하게', '이용')",사용방법,사용 방법이 뭐야,사용 방식,사용하는 방법,사용하는 방식,어떻게 썼어,어떻게 쓰는거야,쓰는 방법,쓰는 방식,어떻게 쓰는 거야,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"('어떤', '뜻')","('어떤', '정의')","('어떤', '의미')","('어떤', '담긴 의미')","('어떤', '담긴 뜻')","('어떤', '담긴 정의')","('어느', '뜻')","('어느', '정의')","('어느', '의미')","('어느', '담긴 의미')","('어느', '담긴 뜻')","('어느', '담긴 정의')","('무슨', '뜻')","('무슨', '정의')","('무슨', '의미')","('무슨', '담긴 의미')","('무슨', '담긴 뜻')","('무슨', '담긴 정의')","('어떠한', '뜻')","('어떠한', '정의')","('어떠한', '의미')","('어떠한', '담긴 의미')","('어떠한', '담긴 뜻')","('어떠한', '담긴 정의')",뜻이 뭐야,뭔데,모얏,"왜, 많은, 유물","뜻하는, 바","의마하는게, 뭐야","의미하는, 바",무엇인가,"어떤, 그릇","어떤걸, 상징","어떤걸, 의미","특별한, 의미","장식한, 이유","갖는, 의미",의미,"쓰이는, 이유",무엇이죠,"뜻, 무엇",무엇인가요,"넣은, 이유","의미하는게, 뭐야",뭔가요,무슨의미인가요,의미,"상징, 의미",이란,"의미, 무엇",란,알려줘,뭔지 알려줘,"무엇인지, 알려줘",뭐에요,뭐예요,무엇이에요,무엇이예요,의미 없어,의미 있어,뭐얌,뭐양,무엇입니까,뭐냐고,설명해봐,설명해주세요,설명해줘,설명 부탁,의미는 무엇인가요,뜻은 무엇입니까,무엇,뭘까요,뭘까용,무슨 의미에요,뜻,무엇을 의미하나요,무슨 한자야,뭐니,머야,뭐냐구,머냐구,모냐구,모야,모얌,무슨 뜻 이야,무슨뜻이야,뭘까여,뭐일까요,뭐일까여,의미는,의미는 뭔가요,의미는 뭔가여,뭐여,어느 부분,어떤 부분,무슨 부분,이요,상징적 의미,사자인가요,사자야,상상의 동물이야,그릇인가요,자세히 알려줘,알려주세요,대해서 알려주세요,뜻을 알려줘,뭐얌,뭐양 ,뭐야,먼데,알려줘,궁금해,알려줭,궁금행,모양,모야,머야,뭐예요,뭐에요,뭐여,뭐임,머임,모에요,모에용,모에욤,뭐일까
7,어떤 기법 사용,"('어떤', '기법', '활용')","('어떤', '기법', '이용')","('어떤', '수법', '사용')","('어떤', '수법', '활용')","('어떤', '수법', '이용')","('어떤', '방법', '사용')","('어떤', '방법', '활용')","('어떤', '방법', '이용')","('어떤', '들어간 기법', '사용')","('어떤', '들어간 기법', '활용')","('어떤', '들어간 기법', '이용')","('어떤', '패턴', '사용')","('어떤', '패턴', '활용')","('어떤', '패턴', '이용')","('어느', '기법', '사용')","('어느', '기법', '활용')","('어느', '기법', '이용')","('어느', '수법', '사용')","('어느', '수법', '활용')","('어느', '수법', '이용')","('어느', '방법', '사용')","('어느', '방법', '활용')","('어느', '방법', '이용')","('어느', '들어간 기법', '사용')","('어느', '들어간 기법', '활용')","('어느', '들어간 기법', '이용')","('어느', '패턴', '사용')","('어느', '패턴', '활용')","('어느', '패턴', '이용')","('무슨', '기법', '사용')","('무슨', '기법', '활용')","('무슨', '기법', '이용')","('무슨', '수법', '사용')","('무슨', '수법', '활용')","('무슨', '수법', '이용')","('무슨', '방법', '사용')","('무슨', '방법', '활용')","('무슨', '방법', '이용')","('무슨', '들어간 기법', '사용')","('무슨', '들어간 기법', '활용')","('무슨', '들어간 기법', '이용')","('무슨', '패턴', '사용')","('무슨', '패턴', '활용')","('무슨', '패턴', '이용')","('어떠한', '기법', '사용')","('어떠한', '기법', '활용')","('어떠한', '기법', '이용')","('어떠한', '수법', '사용')","('어떠한', '수법', '활용')","('어떠한', '수법', '이용')","('어떠한', '방법', '사용')","('어떠한', '방법', '활용')","('어떠한', '방법', '이용')","('어떠한', '들어간 기법', '사용')","('어떠한', '들어간 기법', '활용')","('어떠한', '들어간 기법', '이용')","('어떠한', '패턴', '사용')","('어떠한', '패턴', '활용')","('어떠한', '패턴', '이용')",사용한 기법,사용 기법,무슨 기법,어떤 기법,기법 알려줘,두드러진 기법,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"어떤, 무늬","주로, 무늬","주로, 사용, 무늬","주로, 사용한, 무늬",장식,무늬,무늬는 뭐야,어떤 무늬가 있나요,어떤 무늬,무슨 무늬,무늬,디자인,주 사용 무늬,주된 무늬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"나라, 사람","어디, 사람",어느나라 사람,"우리나라, 사람",우리나라,사람,무슨 나라 사람,무슨 사람,어떤 사람,나라 인간,인간,닝겐,어떤 시대 사람,어떤 나라 사람,무슨 시대 사람,언제 사람,중국 시대 사람,중국 사람,중국 어느,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,얼마나 있나,몇개 있나,몇 종류,몇 개,얼마나,개수,몇 개 발견,몇 개 발견됐나요,몇 개 발견되었나,몇 개나 발견되었나,몇 가지,몇개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,발견 유물,발견된 유물,원나라 작품 많이 발견,발견된 다른 유물,발견 다른 유물,찾은 유물,다른 유물,발견 도자기,다른 도자기,찾은 도자기,발견된 다른 도자기,발견된 도자기,종류의 다른 유물,나온 유물,나온 도자기,발견된 유물,나온 유물,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
